detection_delay,run,peak_infected,time_to_peak,total_infected,recovery_time,still_infected_t80
10,69,37,30,1105,55.0,0
10,70,35,16,1091,57.0,0
10,71,35,28,1078,50.0,0
10,72,35,40,1098,64.0,0
10,73,35,13,1070,49.0,0
10,74,36,15,1086,53.0,0
10,75,36,29,1107,48.0,0
10,76,41,19,1106,48.0,0
10,77,39,34,1094,62.0,0
10,78,33,24,1088,51.0,0
10,79,34,26,1105,52.0,0
10,80,40,21,1109,48.0,0
10,81,33,21,1108,52.0,0
10,82,33,16,1085,53.0,0
10,83,38,25,1094,44.0,0
10,84,37,16,1094,45.0,0
10,85,35,25,1098,56.0,0
10,86,33,28,1121,52.0,0
10,87,37,20,1075,49.0,0
10,88,39,21,1086,45.0,0
10,89,40,17,1089,48.0,0
10,90,30,39,1091,69.0,0
10,91,37,31,1104,55.0,0
10,92,36,25,1139,50.0,0
10,93,43,25,1084,45.0,0
10,94,38,20,1103,52.0,0
10,95,41,27,1071,54.0,0
10,96,36,15,1090,48.0,0
10,97,40,24,1082,48.0,0
10,98,35,29,1088,54.0,0
10,99,39,19,1101,49.0,0
10,100,41,17,1080,50.0,0
20,1,62,35,2120,62.0,0
20,2,62,27,2107,62.0,0
20,3,65,27,2101,56.0,0
20,4,62,25,2083,61.0,0
20,5,68,30,2065,57.0,0
20,6,66,41,2099,70.0,0
20,7,53,31,2099,69.0,0
20,8,62,28,2133,62.0,0
20,9,63,24,2102,60.0,0
20,10,60,25,2101,62.0,0
20,11,62,53,1988,,21
20,12,60,32,2070,60.0,0
20,13,61,28,2070,63.0,0
20,14,68,28,2085,54.0,0
20,15,57,32,2064,70.0,0
20,16,64,24,2097,58.0,0
20,17,56,26,2125,62.0,0
20,18,58,24,2100,61.0,0
20,19,63,25,2087,59.0,0
20,20,67,32,2106,64.0,0
20,21,70,29,2072,58.0,0
20,22,62,23,2088,58.0,0
20,23,62,34,2129,63.0,0
20,24,59,23,2112,60.0,0
20,25,65,35,2068,69.0,0
20,26,61,27,2116,66.0,0
20,27,62,36,2114,64.0,0
20,28,69,27,2075,55.0,0
20,29,65,24,2069,58.0,0
20,30,59,27,2102,65.0,0
20,31,60,25,2090,60.0,0
20,32,74,26,2121,57.0,0
20,33,62,31,2102,69.0,0
20,34,65,23,2117,60.0,0
20,35,64,42,2089,66.0,0
20,36,70,24,2111,53.0,0
20,37,62,46,2073,,11
20,38,59,28,2096,62.0,0
20,39,68,29,2098,63.0,0
20,40,70,24,2088,57.0,0
20,41,63,29,2112,60.0,0
20,42,65,29,2129,63.0,0
20,43,66,38,2107,61.0,0
20,44,61,33,2103,60.0,0
20,45,64,34,2096,58.0,0
20,46,62,26,2093,56.0,0
20,47,65,25,2111,58.0,0
20,48,64,30,2083,60.0,0
20,49,67,33,2092,56.0,0
20,50,67,25,2108,57.0,0
20,51,64,23,2081,59.0,0
20,52,55,23,2069,62.0,0
20,53,67,29,2128,57.0,0
20,54,58,30,2076,59.0,0
20,55,66,30,2087,60.0,0
20,56,63,31,2093,62.0,0
20,57,62,28,2089,61.0,0
20,58,67,27,2095,58.0,0
20,59,60,34,2085,61.0,0
20,60,61,28,2100,66.0,0
20,61,66,29,2104,62.0,0
20,62,65,27,2098,56.0,0
20,63,57,30,2086,62.0,0
20,64,71,31,2079,58.0,0
20,65,51,40,2088,72.0,0
20,66,69,38,2072,58.0,0
20,67,67,51,2100,75.0,0
20,68,70,40,2083,64.0,0
20,69,61,25,2102,61.0,0
20,70,65,34,2106,55.0,0
20,71,62,38,2086,63.0,0
20,72,63,33,2111,64.0,0
20,73,70,26,2108,55.0,0
20,74,56,35,2097,66.0,0
20,75,65,41,2106,72.0,0
20,76,64,34,2074,65.0,0
20,77,61,32,2109,63.0,0
20,78,68,26,2085,56.0,0
20,79,59,33,2080,61.0,0
20,80,65,31,2083,64.0,0
20,81,60,40,2083,67.0,0
20,82,60,29,2098,56.0,0
20,83,66,28,2118,60.0,0
20,84,68,28,2093,54.0,0
20,85,71,32,2130,54.0,0
20,86,64,26,2114,62.0,0
20,87,72,28,2087,56.0,0
20,88,59,35,2116,63.0,0
20,89,59,38,2082,77.0,2
20,90,67,33,2125,57.0,0
20,91,66,33,2081,65.0,0
20,92,59,23,2077,61.0,0
20,93,59,36,2074,61.0,0
20,94,68,27,2084,55.0,0
20,95,59,44,2089,66.0,0
20,96,61,34,2090,64.0,0
20,97,69,25,2100,57.0,0
20,98,75,33,2104,55.0,0
20,99,65,25,2111,58.0,0
20,100,59,25,2101,59.0,0
